step,loss,lr,tag
0,14.347285,0.00000000,train
1,14.257132,0.01000000,train
2,14.197566,0.02000000,train
3,13.942857,0.03000000,train
4,14.330522,0.04000000,train
5,14.051641,0.05000000,train
6,13.830374,0.06000000,train
7,13.166621,0.07000000,train
8,13.622675,0.08000000,train
9,13.623263,0.09000000,train
10,13.483804,0.10000000,train
11,12.938375,0.11000000,train
12,12.974680,0.12000000,train
13,11.743514,0.13000000,train
14,12.306516,0.14000000,train
15,11.174280,0.15000000,train
16,11.702230,0.16000000,train
17,9.787488,0.17000000,train
18,11.606826,0.18000000,train
19,10.955026,0.19000000,train
20,10.930927,0.20000000,train
21,8.659198,0.21000000,train
22,10.912700,0.22000000,train
23,9.971974,0.23000000,train
24,9.422468,0.24000000,train
25,10.558027,0.25000000,train
26,10.330415,0.26000000,train
27,10.168543,0.27000000,train
28,11.047573,0.28000000,train
29,10.365894,0.29000000,train
30,10.746330,0.30000000,train
31,9.162836,0.31000000,train
32,10.055618,0.32000000,train
33,8.931619,0.33000000,train
34,10.438397,0.34000000,train
35,9.179801,0.35000000,train
36,8.788502,0.36000000,train
37,9.284976,0.37000000,train
38,8.139175,0.38000000,train
39,9.649397,0.39000000,train
40,7.981438,0.40000000,train
41,7.851161,0.41000000,train
42,6.807114,0.42000000,train
43,8.963413,0.43000000,train
44,8.457202,0.44000000,train
45,7.995269,0.45000000,train
46,8.568619,0.46000000,train
47,5.793998,0.47000000,train
48,8.624201,0.48000000,train
49,6.730772,0.49000000,train
50,7.794140,0.50000000,train
51,8.727710,0.51000000,train
52,7.524675,0.52000000,train
53,7.964287,0.53000000,train
54,7.508977,0.54000000,train
55,5.112494,0.55000000,train
56,7.248490,0.56000000,train
57,8.994132,0.57000000,train
58,7.279025,0.58000000,train
59,4.538554,0.59000000,train
60,8.977272,0.60000000,train
61,7.252404,0.61000000,train
62,6.865728,0.62000000,train
63,7.187724,0.63000000,train
64,5.874676,0.64000000,train
65,7.515518,0.65000000,train
66,6.846563,0.66000000,train
67,6.698246,0.67000000,train
68,4.586660,0.68000000,train
69,7.600287,0.69000000,train
70,6.880986,0.70000000,train
71,6.048862,0.71000000,train
72,7.027920,0.72000000,train
73,6.106738,0.73000000,train
74,6.810094,0.74000000,train
75,3.704651,0.75000000,train
76,6.906346,0.76000000,train
77,4.928248,0.77000000,train
78,5.578458,0.78000000,train
79,6.004807,0.79000000,train
80,6.185899,0.80000000,train
81,6.509502,0.81000000,train
82,5.050262,0.82000000,train
83,3.726798,0.83000000,train
84,5.875063,0.84000000,train
85,5.073584,0.85000000,train
86,5.970710,0.86000000,train
87,4.983004,0.87000000,train
88,3.443630,0.88000000,train
89,5.336990,0.89000000,train
90,3.510369,0.90000000,train
91,4.795935,0.91000000,train
92,5.872748,0.92000000,train
93,4.111561,0.93000000,train
94,6.180609,0.94000000,train
95,6.515579,0.95000000,train
96,4.985384,0.96000000,train
97,3.831465,0.97000000,train
98,4.693693,0.98000000,train
99,2.721536,0.99000000,train
100,9.394227,0.99000000,ttt
100,5.840716,1.00000000,train
101,4.355613,0.99975328,train
102,5.656919,0.99901336,train
103,6.592765,0.99778098,train
104,5.752244,0.99605735,train
105,2.581872,0.99384417,train
106,2.521312,0.99114363,train
107,4.204201,0.98795838,train
108,5.065052,0.98429158,train
109,6.187414,0.98014684,train
110,3.082512,0.97552826,train
111,5.535063,0.97044038,train
112,4.817092,0.96488824,train
113,5.446404,0.95887731,train
114,4.004555,0.95241353,train
115,5.787716,0.94550326,train
116,4.784517,0.93815334,train
117,4.662811,0.93037101,train
118,5.093514,0.92216396,train
119,3.126430,0.91354029,train
120,4.012676,0.90450850,train
121,5.837758,0.89507751,train
122,3.796362,0.88525662,train
123,5.461916,0.87505553,train
124,5.531012,0.86448431,train
125,5.217774,0.85355339,train
126,4.885288,0.84227355,train
127,4.156704,0.83065593,train
128,3.286100,0.81871199,train
129,3.424478,0.80645353,train
130,3.548536,0.79389263,train
131,4.397952,0.78104169,train
132,5.401468,0.76791340,train
133,4.601201,0.75452071,train
134,5.036851,0.74087684,train
135,3.407332,0.72699525,train
136,3.860007,0.71288965,train
137,2.216505,0.69857395,train
138,3.572143,0.68406228,train
139,3.753930,0.66936896,train
140,8.860696,0.65450850,train
141,3.856648,0.63949555,train
142,4.516137,0.62434494,train
143,1.855891,0.60907162,train
144,4.781615,0.59369066,train
145,4.203580,0.57821723,train
146,3.877260,0.56266662,train
147,5.021838,0.54705416,train
148,2.908860,0.53139526,train
149,3.087174,0.51570538,train
150,4.975109,0.50000000,train
151,5.011274,0.48429462,train
152,4.780940,0.46860474,train
153,3.799917,0.45294584,train
154,1.965853,0.43733338,train
155,4.909470,0.42178277,train
156,4.557424,0.40630934,train
157,4.873567,0.39092838,train
158,4.604873,0.37565506,train
159,2.733047,0.36050445,train
160,3.143638,0.34549150,train
161,2.766351,0.33063104,train
162,4.217766,0.31593772,train
163,5.259850,0.30142605,train
164,4.072459,0.28711035,train
165,3.088632,0.27300475,train
166,3.590216,0.25912316,train
167,3.390580,0.24547929,train
168,3.917056,0.23208660,train
169,2.408862,0.21895831,train
170,4.143944,0.20610737,train
171,3.217492,0.19354647,train
172,5.134711,0.18128801,train
173,2.529763,0.16934407,train
174,3.080161,0.15772645,train
175,2.099032,0.14644661,train
176,3.897172,0.13551569,train
177,4.329226,0.12494447,train
178,4.900276,0.11474338,train
179,1.730744,0.10492249,train
180,3.052619,0.09549150,train
181,3.091058,0.08645971,train
182,4.059465,0.07783604,train
183,2.387029,0.06962899,train
184,3.930727,0.06184666,train
185,3.896884,0.05449674,train
186,4.460865,0.04758647,train
187,4.490026,0.04112269,train
188,5.045287,0.03511176,train
189,5.135459,0.02955962,train
190,5.280544,0.02447174,train
191,2.208937,0.01985316,train
192,2.762623,0.01570842,train
193,3.530028,0.01204162,train
194,3.198132,0.00885637,train
195,1.865930,0.00615583,train
196,4.372008,0.00394265,train
197,3.147553,0.00221902,train
198,2.665726,0.00098664,train
199,5.252428,0.00024672,train
200,11.019133,0.00024672,ttt
