step,loss,lr,tag
0,14.061165,0.00000000,train
1,15.606331,0.01000000,train
2,15.073451,0.02000000,train
3,16.648535,0.03000000,train
4,13.646057,0.04000000,train
5,14.354589,0.05000000,train
6,14.601828,0.06000000,train
7,13.947602,0.07000000,train
8,13.523761,0.08000000,train
9,16.888975,0.09000000,train
10,12.981355,0.10000000,train
11,12.882924,0.11000000,train
12,13.068909,0.12000000,train
13,12.776072,0.13000000,train
14,11.828675,0.14000000,train
15,11.846522,0.15000000,train
16,11.536083,0.16000000,train
17,10.908299,0.17000000,train
18,10.902057,0.18000000,train
19,11.111056,0.19000000,train
20,10.414437,0.20000000,train
21,10.200948,0.21000000,train
22,10.124199,0.22000000,train
23,9.884451,0.23000000,train
24,10.086125,0.24000000,train
25,9.517549,0.25000000,train
26,9.472712,0.26000000,train
27,10.180376,0.27000000,train
28,9.329683,0.28000000,train
29,9.261509,0.29000000,train
30,10.061819,0.30000000,train
31,9.464368,0.31000000,train
32,8.494719,0.32000000,train
33,8.383955,0.33000000,train
34,6.481678,0.34000000,train
35,6.565473,0.35000000,train
36,8.598482,0.36000000,train
37,7.527826,0.37000000,train
38,7.903757,0.38000000,train
39,7.911651,0.39000000,train
40,7.923481,0.40000000,train
41,8.628013,0.41000000,train
42,6.424192,0.42000000,train
43,8.505207,0.43000000,train
44,7.203051,0.44000000,train
45,6.938908,0.45000000,train
46,6.948120,0.46000000,train
47,7.671537,0.47000000,train
48,7.332950,0.48000000,train
49,8.851695,0.49000000,train
50,4.715723,0.50000000,train
51,7.327932,0.51000000,train
52,6.752132,0.52000000,train
53,8.538047,0.53000000,train
54,7.910092,0.54000000,train
55,6.457032,0.55000000,train
56,6.010963,0.56000000,train
57,7.165817,0.57000000,train
58,6.535980,0.58000000,train
59,6.742915,0.59000000,train
60,7.027956,0.60000000,train
61,5.647286,0.61000000,train
62,7.497432,0.62000000,train
63,7.175923,0.63000000,train
64,4.456430,0.64000000,train
65,5.984353,0.65000000,train
66,6.763825,0.66000000,train
67,6.585382,0.67000000,train
68,5.044890,0.68000000,train
69,6.043352,0.69000000,train
70,5.276657,0.70000000,train
71,4.898131,0.71000000,train
72,5.631413,0.72000000,train
73,5.593253,0.73000000,train
74,4.042544,0.74000000,train
75,6.409880,0.75000000,train
76,4.939852,0.76000000,train
77,4.141929,0.77000000,train
78,6.613867,0.78000000,train
79,5.223077,0.79000000,train
80,3.991688,0.80000000,train
81,5.212369,0.81000000,train
82,6.224542,0.82000000,train
83,5.096620,0.83000000,train
84,2.747144,0.84000000,train
85,5.931052,0.85000000,train
86,3.209594,0.86000000,train
87,5.225742,0.87000000,train
88,3.872647,0.88000000,train
89,6.206568,0.89000000,train
90,5.453358,0.90000000,train
91,4.541355,0.91000000,train
92,4.988845,0.92000000,train
93,3.479977,0.93000000,train
94,3.740815,0.94000000,train
95,6.354896,0.95000000,train
96,5.167598,0.96000000,train
97,4.584365,0.97000000,train
98,3.264635,0.98000000,train
99,4.831759,0.99000000,train
