step,loss,lr,tag
0,14.942267,0.00000000,train
1,16.432623,0.01000000,train
2,15.377902,0.02000000,train
3,14.442058,0.03000000,train
4,13.910772,0.04000000,train
5,14.311639,0.05000000,train
6,13.716352,0.06000000,train
7,13.434658,0.07000000,train
8,17.430708,0.08000000,train
9,13.655045,0.09000000,train
10,13.065104,0.10000000,train
11,14.385165,0.11000000,train
12,13.131035,0.12000000,train
13,13.473922,0.13000000,train
14,11.451042,0.14000000,train
15,11.653199,0.15000000,train
16,10.805879,0.16000000,train
17,12.011831,0.17000000,train
18,11.188644,0.18000000,train
19,10.837751,0.19000000,train
20,10.889913,0.20000000,train
21,10.646230,0.21000000,train
22,9.007361,0.22000000,train
23,10.493324,0.23000000,train
24,9.538411,0.24000000,train
25,7.612525,0.25000000,train
26,8.766587,0.26000000,train
27,8.311431,0.27000000,train
28,10.405857,0.28000000,train
29,9.947191,0.29000000,train
30,9.800810,0.30000000,train
31,9.844592,0.31000000,train
32,9.316622,0.32000000,train
33,6.162157,0.33000000,train
34,6.117830,0.34000000,train
35,9.383684,0.35000000,train
36,9.001865,0.36000000,train
37,7.944250,0.37000000,train
38,7.601046,0.38000000,train
39,8.076723,0.39000000,train
40,11.299472,0.40000000,train
41,8.061529,0.41000000,train
42,7.065199,0.42000000,train
43,7.926062,0.43000000,train
44,8.131263,0.44000000,train
45,7.818008,0.45000000,train
46,6.078077,0.46000000,train
47,7.989843,0.47000000,train
48,7.322930,0.48000000,train
49,5.244528,0.49000000,train
50,6.821372,0.50000000,train
51,5.686684,0.51000000,train
52,7.341190,0.52000000,train
53,6.407467,0.53000000,train
54,7.031095,0.54000000,train
55,6.992438,0.55000000,train
56,5.107906,0.56000000,train
57,5.988232,0.57000000,train
58,7.637576,0.58000000,train
59,6.908820,0.59000000,train
60,7.175253,0.60000000,train
61,3.953062,0.61000000,train
62,4.570074,0.62000000,train
63,6.025948,0.63000000,train
64,6.535156,0.64000000,train
65,5.700434,0.65000000,train
66,6.051958,0.66000000,train
67,6.267786,0.67000000,train
68,5.338220,0.68000000,train
69,5.753277,0.69000000,train
70,7.170124,0.70000000,train
71,7.498913,0.71000000,train
72,6.188135,0.72000000,train
73,6.095133,0.73000000,train
74,6.796053,0.74000000,train
75,5.448146,0.75000000,train
76,4.403917,0.76000000,train
77,5.278679,0.77000000,train
78,4.899510,0.78000000,train
79,5.092437,0.79000000,train
80,5.854825,0.80000000,train
81,2.730071,0.81000000,train
82,3.952252,0.82000000,train
83,3.779798,0.83000000,train
84,4.781998,0.84000000,train
85,4.088788,0.85000000,train
86,5.628437,0.86000000,train
87,3.326917,0.87000000,train
88,4.725400,0.88000000,train
89,4.052225,0.89000000,train
90,5.285314,0.90000000,train
91,5.335280,0.91000000,train
92,4.668202,0.92000000,train
93,2.360288,0.93000000,train
94,3.191794,0.94000000,train
95,5.765817,0.95000000,train
96,3.241513,0.96000000,train
97,3.985664,0.97000000,train
98,3.299142,0.98000000,train
99,5.318528,0.99000000,train
100,12.365216,0.99000000,ttt
100,4.597396,1.00000000,train
101,2.119149,0.99999932,train
102,4.908999,0.99999727,train
103,3.551111,0.99999385,train
104,4.587470,0.99998906,train
105,4.073491,0.99998291,train
106,6.631715,0.99997539,train
107,5.345208,0.99996651,train
108,3.883649,0.99995626,train
109,4.264061,0.99994464,train
110,5.438969,0.99993165,train
111,4.860829,0.99991730,train
112,3.755399,0.99990158,train
113,3.979695,0.99988449,train
114,1.953422,0.99986604,train
115,3.958666,0.99984622,train
116,5.335382,0.99982504,train
117,3.990667,0.99980248,train
118,7.439458,0.99977857,train
119,3.203183,0.99975328,train
120,3.404376,0.99972663,train
121,4.824681,0.99969861,train
122,4.674284,0.99966923,train
123,4.588384,0.99963848,train
124,3.336971,0.99960636,train
125,3.368961,0.99957288,train
126,3.951627,0.99953803,train
127,2.651095,0.99950182,train
128,4.281621,0.99946424,train
129,2.780483,0.99942529,train
130,4.978311,0.99938498,train
131,4.441577,0.99934331,train
132,4.481402,0.99930027,train
133,4.182215,0.99925586,train
134,3.756034,0.99921009,train
135,2.965317,0.99916296,train
136,1.103634,0.99911446,train
137,4.537178,0.99906459,train
138,4.011288,0.99901336,train
139,4.467483,0.99896077,train
140,2.530171,0.99890681,train
141,3.793234,0.99885149,train
142,3.926534,0.99879481,train
143,5.548651,0.99873676,train
144,4.145545,0.99867735,train
145,4.904544,0.99861657,train
146,4.608497,0.99855443,train
147,3.574513,0.99849093,train
148,1.438860,0.99842606,train
149,4.534963,0.99835984,train
150,4.244589,0.99829225,train
151,1.049777,0.99822329,train
152,4.222569,0.99815298,train
153,3.848118,0.99808130,train
154,4.528134,0.99800827,train
155,1.522731,0.99793387,train
156,3.471168,0.99785810,train
157,3.614500,0.99778098,train
158,2.742717,0.99770250,train
159,4.516261,0.99762266,train
160,3.155295,0.99754145,train
161,3.289988,0.99745889,train
162,3.295338,0.99737496,train
163,3.971104,0.99728968,train
164,3.109780,0.99720303,train
165,4.406056,0.99711503,train
166,1.245552,0.99702567,train
167,4.247838,0.99693495,train
168,2.492663,0.99684287,train
169,3.621018,0.99674943,train
170,1.913387,0.99665463,train
171,1.662571,0.99655848,train
172,2.648572,0.99646097,train
173,2.897944,0.99636210,train
174,4.583730,0.99626187,train
175,3.962486,0.99616029,train
176,2.752991,0.99605735,train
177,1.318860,0.99595306,train
178,3.916301,0.99584740,train
179,3.741712,0.99574040,train
180,2.149550,0.99563203,train
181,1.816770,0.99552232,train
182,3.553821,0.99541125,train
183,2.723228,0.99529882,train
184,3.757251,0.99518504,train
185,3.435340,0.99506990,train
186,4.392599,0.99495342,train
187,1.894085,0.99483557,train
188,3.593396,0.99471638,train
189,3.751888,0.99459583,train
190,4.527126,0.99447394,train
191,3.582154,0.99435068,train
192,3.215425,0.99422608,train
193,2.255356,0.99410013,train
194,2.882635,0.99397282,train
195,2.912606,0.99384417,train
196,1.512881,0.99371417,train
197,2.695826,0.99358281,train
198,4.006314,0.99345011,train
199,2.900788,0.99331605,train
200,12.315514,0.99331605,ttt
200,4.033756,0.99318065,train
201,1.491637,0.99304390,train
202,3.346028,0.99290580,train
203,0.996378,0.99276636,train
204,3.619628,0.99262556,train
205,1.695152,0.99248342,train
206,4.128611,0.99233994,train
